Period,N,Variable,OR,CI_lo,CI_hi,p_value
2000-2009,1569,log_author_count,0.5366,0.4201,0.6855,0.0
2000-2009,1569,is_multibloc,0.2523,0.1655,0.3845,0.0
2000-2009,1569,is_western,0.5496,0.4049,0.746,0.0001
2000-2009,1569,has_funding_int,0.8229,0.623,1.0869,0.1697
2000-2009,1569,is_oa_int,1.0564,0.8453,1.3203,0.6293
2010-2019,6630,log_author_count,0.4764,0.4105,0.5528,0.0
2010-2019,6630,is_multibloc,0.5061,0.3967,0.6455,0.0
2010-2019,6630,is_western,0.8744,0.7311,1.0458,0.1417
2010-2019,6630,has_funding_int,0.9087,0.7334,1.1258,0.3809
2010-2019,6630,is_oa_int,1.1994,1.0696,1.345,0.0019
2020-2025,13004,log_author_count,0.5533,0.5139,0.5957,0.0
2020-2025,13004,is_multibloc,0.4331,0.3718,0.5045,0.0
2020-2025,13004,is_western,1.2444,1.0784,1.4358,0.0028
2020-2025,13004,has_funding_int,0.8132,0.6512,1.0155,0.0682
2020-2025,13004,is_oa_int,1.4313,1.206,1.6986,0.0
