publication_year,n,gh_first,gh_last,first_pct,last_pct
2000.0,89,42,33,47.19101123595505,37.07865168539326
2001.0,110,49,31,44.54545454545455,28.18181818181818
2002.0,94,47,28,50.0,29.78723404255319
2003.0,128,59,58,46.09375,45.3125
2004.0,140,64,43,45.714285714285715,30.714285714285715
2005.0,152,53,42,34.868421052631575,27.631578947368425
2006.0,165,68,60,41.21212121212121,36.36363636363637
2007.0,217,80,71,36.86635944700461,32.71889400921659
2008.0,238,108,64,45.378151260504204,26.89075630252101
2009.0,236,99,76,41.94915254237288,32.20338983050847
2010.0,312,110,93,35.256410256410255,29.807692307692307
2011.0,329,140,102,42.5531914893617,31.00303951367781
2012.0,408,154,129,37.745098039215684,31.61764705882353
2013.0,483,196,136,40.57971014492754,28.157349896480333
2014.0,588,267,198,45.40816326530612,33.6734693877551
2015.0,712,315,189,44.241573033707866,26.54494382022472
2016.0,762,333,229,43.7007874015748,30.05249343832021
2017.0,828,367,229,44.32367149758454,27.657004830917874
2018.0,992,453,277,45.66532258064516,27.923387096774192
2019.0,1216,582,381,47.86184210526316,31.332236842105267
2020.0,1728,767,554,44.386574074074076,32.06018518518518
2021.0,1814,810,517,44.65270121278942,28.500551267916208
2022.0,2020,831,629,41.13861386138613,31.138613861386137
2023.0,2117,953,707,45.01653282947567,33.3963155408597
2024.0,2355,1004,797,42.632696390658175,33.84288747346072
2025.0,2970,1195,1006,40.235690235690235,33.87205387205387
