Field,Position,N,GH_pct,CI_lo,CI_hi
Health Sciences,first,17161,43.36577122545307,42.62587385304338,44.10863805338677
Health Sciences,last,17161,32.620476662199174,31.923001327958485,33.32573100487237
"Biochemistry, Genetics and Molecular Biology",first,1949,40.123140071831706,37.968572132786676,42.316565799890235
"Biochemistry, Genetics and Molecular Biology",last,1949,22.575679835813236,20.774568803439134,24.48468431352608
Engineering,first,577,47.487001733102254,43.442521507828516,51.56472193879461
Engineering,last,577,37.60831889081456,33.75007004092125,41.630475230358336
Immunology and Microbiology,first,1048,43.034351145038165,40.06750666496746,46.052074496656196
Immunology and Microbiology,last,1048,25.572519083969464,23.023730991485245,28.29973171229091
Neuroscience,first,265,36.22641509433962,30.674285934183832,42.17216404409578
Neuroscience,last,265,33.20754716981132,27.81272364815764,39.08226331166272
"Pharmacology, Toxicology and Pharmaceutics",first,198,48.98989898989899,42.11266754394731,55.90557904257116
"Pharmacology, Toxicology and Pharmaceutics",last,198,33.33333333333333,27.139460397375302,40.16160828017963
Other,first,5,80.0,37.55346297625253,96.37758913675698
Other,last,5,40.0,11.762077423264783,76.9275718723987
