Feature,Mean_abs_SHAP,Mean_SHAP
country_count,0.5322043,-0.1471771
log_author_count,0.2026035,-0.025979044
has_funding_int,0.17809242,-0.014276614
year_centered,0.13279158,-0.00953627
is_oa_int,0.12300788,0.00018014372
field_encoded,0.086491704,-0.008924531
bloc_encoded,0.06171378,0.016440801
is_african,0.04453105,-0.0051982366
author_count,0.041574895,-0.0042129313
is_western,0.036316514,-0.0065580653
is_multibloc,0.034793794,-0.011878652
year_centered_sq,0.030314973,-0.002783322
is_bilateral,0.009136218,-0.003287639
