Metric,Value
Total collaborations,3063
Earliest year,2000.0
Latest year,2025.0
Peak year count,418
Field: Medicine,1856 (60.6%)
Field: Health Professions,328 (10.7%)
Field: Engineering,319 (10.4%)
"Field: Biochemistry, Genetics and Molecular Biology",255 (8.3%)
Field: Nursing,122 (4.0%)
First author Ghanaian,577 (18.8%)
First author Dual-affiliated,560 (18.3%)
First author Non-Ghanaian,1926 (62.9%)
Last author Ghanaian,380 (12.7%)
Last author Dual-affiliated,265 (8.8%)
Last author Non-Ghanaian,2357 (78.5%)
Corresponding author Ghanaian,670 (15.4%)
Corresponding author Dual-affiliated,605 (13.9%)
Corresponding author Non-Ghanaian,3089 (70.8%)
