Characteristic,Overall,2000–2005,2006–2010,2011–2015,2016–2019,2020–2025
Total international collaborative works,"24,768",894,"1,448","2,980","4,353","15,093"
Total authorships,"223,453","5,054","9,277","21,779","37,729","149,614"
Unique authors,"93,203",,,,,
Unique institutions,"13,402",,,,,
Unique countries,203,,,,,
Median authors per paper (IQR),6 (4-10),4 (3-7),5 (3-8),5 (3-9),6 (4-9),7 (4-11)
Median countries per paper (IQR),2 (2-3),,,,,
Works by domain: Health Sciences,"17,195 (69.4%)",,,,,
Works by domain: Life Sciences,"3,468 (14.0%)",,,,,
Works by domain: Physical Sciences,"4,105 (16.6%)",,,,,
Works with funding data,"9,638 (38.9%)",,,,,
Works with corresponding author data,"24,752 (99.9%)",,,,,
Open access works,"18,190 (73.4%)",,,,,
Median citations per work (IQR),5 (1-21),16 (1-56),18 (1-57),17 (3-43),15 (4-36),3 (0-10)
