Country,Time_period,N_works,Ghanaian_first_author_pct,Ghanaian_last_author_pct,Ghanaian_corresponding_author_pct
US,2000–2005,345,46.1,47.7,43.9
US,2006–2010,584,42.6,39.7,39.3
US,2011–2015,1221,35.8,30.1,33.4
US,2016–2019,1765,38.3,26.3,33.9
US,2020–2025,6124,36.4,29.3,31.1
GB,2000–2005,188,46.8,33.7,43.8
GB,2006–2010,360,41.4,26.8,39.4
GB,2011–2015,637,41.4,20.8,34.7
GB,2016–2019,897,33.1,21.7,27.9
GB,2020–2025,3511,32.0,22.9,26.9
ZA,2000–2005,37,45.9,37.8,42.9
ZA,2006–2010,79,31.6,26.9,32.9
ZA,2011–2015,333,36.9,31.9,34.5
ZA,2016–2019,595,41.0,21.5,35.7
ZA,2020–2025,2019,36.1,19.2,26.9
NG,2000–2005,23,17.4,21.7,17.4
NG,2006–2010,48,31.2,25.5,34.0
NG,2011–2015,179,38.0,28.7,36.8
NG,2016–2019,351,33.6,19.9,31.4
NG,2020–2025,1731,22.7,21.3,17.9
CN,2000–2005,6,33.3,33.3,16.7
CN,2006–2010,35,28.6,32.4,22.9
CN,2011–2015,166,38.6,25.0,33.3
CN,2016–2019,386,45.6,28.6,28.1
CN,2020–2025,1447,25.9,23.8,17.4
AU,2000–2005,12,16.7,33.3,16.7
AU,2006–2010,34,11.8,15.2,12.2
AU,2011–2015,128,40.6,23.0,31.9
AU,2016–2019,345,44.9,28.1,37.4
AU,2020–2025,1488,38.7,27.3,31.1
DE,2000–2005,75,17.3,9.3,13.2
DE,2006–2010,145,20.7,15.4,23.8
DE,2011–2015,249,32.9,17.1,27.2
DE,2016–2019,334,34.4,15.4,27.8
DE,2020–2025,1188,34.0,20.2,27.0
CA,2000–2005,26,15.4,42.3,14.8
CA,2006–2010,75,29.3,37.8,24.0
CA,2011–2015,147,35.4,28.3,28.9
CA,2016–2019,239,29.3,15.2,23.3
CA,2020–2025,1219,29.9,23.1,22.4
IN,2000–2005,30,30.0,16.7,25.8
IN,2006–2010,33,27.3,18.8,26.5
IN,2011–2015,79,29.1,16.9,22.0
IN,2016–2019,161,26.1,20.3,19.6
IN,2020–2025,1111,22.3,28.9,22.5
ZM,2000–2005,5,60.0,40.0,80.0
ZM,2006–2010,37,21.6,21.6,21.6
ZM,2011–2015,101,60.4,49.5,53.4
ZM,2016–2019,146,50.0,44.8,44.9
ZM,2020–2025,1093,52.3,49.5,38.9
