Scenario,Position,Total N,Ghanaian N,Ghanaian %,Ghanaian 95% CI,Dual-affiliated N,Dual-affiliated %,Dual-affiliated 95% CI,Non-Ghanaian N,Non-Ghanaian %,Non-Ghanaian 95% CI
Original (3 categories),First author,24768,6390,25.8,25.3-26.3,4722,19.1,18.6-19.6,13656,55.1,54.5-55.8
Original (3 categories),Last author,24621,5410,22.0,21.5-22.5,2910,11.8,11.4-12.2,16301,66.2,65.6-66.8
Original (3 categories),Corresponding author,31119,7623,24.5,24.0-25.0,4849,15.6,15.2-16.0,18647,59.9,59.4-60.5
Generous (Dual = Ghanaian),First author,24768,11112,44.9,44.2-45.5,0,0.0,0.0-0.0,13656,55.1,54.5-55.8
Generous (Dual = Ghanaian),Last author,24621,8320,33.8,33.2-34.4,0,0.0,0.0-0.0,16301,66.2,65.6-66.8
Generous (Dual = Ghanaian),Corresponding author,31119,12472,40.1,39.5-40.6,0,0.0,0.0-0.0,18647,59.9,59.4-60.5
Conservative (Dual = Non-Ghanaian),First author,24768,6390,25.8,25.3-26.3,0,0.0,0.0-0.0,18378,74.2,73.7-74.7
Conservative (Dual = Non-Ghanaian),Last author,24621,5410,22.0,21.5-22.5,0,0.0,0.0-0.0,19211,78.0,77.5-78.5
Conservative (Dual = Non-Ghanaian),Corresponding author,31119,7623,24.5,24.0-25.0,0,0.0,0.0-0.0,23496,75.5,75.0-76.0
