Country,Total collabs,% of all collabs,% Ghanaian first author,% Ghanaian last author,% Ghanaian corresponding author
US,10039,40.5,37.3,30.1,32.5
GB,5593,22.6,34.4,23.1,28.7
ZA,3063,12.4,37.1,21.5,29.2
NG,2332,9.4,25.6,21.8,20.6
CN,2040,8.2,30.7,24.9,20.1
AU,2007,8.1,39.3,27.0,31.7
DE,1991,8.0,32.3,18.2,26.6
CA,1706,6.9,30.0,23.4,22.9
IN,1414,5.7,23.4,26.7,22.3
ZM,1382,5.6,51.9,48.2,40.1
KE,1361,5.5,18.7,16.6,16.7
NL,1230,5.0,39.4,19.1,28.4
CH,1230,5.0,25.4,16.2,21.8
FR,785,3.2,22.0,18.2,15.9
UG,776,3.1,12.0,9.3,11.4
TZ,749,3.0,12.0,9.3,9.5
SE,725,2.9,18.2,19.4,15.2
PK,713,2.9,22.7,26.5,23.6
JP,691,2.8,33.3,22.2,22.9
DK,668,2.7,39.8,20.2,25.4
